transaction_amount,device_type,browser,payment_method,country,num_items,time_on_site_sec,is_first_purchase,referral,hour_of_day,account_age_days,Fraud
11.68,Mobile,Chrome,Card,CN,3,159.0,Yes,Search,20,21,0
40.71,Desktop,Edge,Card,Other,6,100.0,No,Direct,16,180,0
31.36,Desktop,Edge,BankTransfer,FR,1,68.0,No,Search,0,704,0
264.11,Desktop,Chrome,Card,DE,6,131.0,Yes,Search,8,1254,0
41.61,Desktop,Safari,Card,Other,1,75.0,No,Search,16,958,0
42.03,Mobile,Chrome,Card,US,2,121.0,No,Search,7,155,0
25.68,Mobile,Chrome,Card,IN,2,152.0,No,Direct,18,1821,0
14.69,Desktop,Safari,Card,UK,3,258.0,Yes,Search,2,693,0
76.5,Mobile,Safari,Card,Other,7,177.0,Yes,Ads,1,1064,0
411.19,Mobile,Chrome,Card,Other,7,61.0,Yes,Search,23,387,1
8.870000000000001,Desktop,Edge,Card,Other,6,154.0,No,Search,19,159,0
305.5,Desktop,Chrome,COD,US,7,38.0,No,Search,16,60,0
15.920000000000002,Mobile,Edge,PayPal,IN,3,44.0,No,Search,17,1280,0
0.6099999999999994,Mobile,Firefox,PayPal,UK,6,718.0,Yes,Search,21,544,0
18.97,Desktop,Edge,PayPal,UK,1,121.0,No,Search,23,525,0
57.120000000000005,Desktop,Firefox,Card,IN,5,306.0,No,Ads,14,901,0
21.57,Mobile,Firefox,BankTransfer,US,4,129.0,No,Ads,19,1557,0
119.88,Desktop,Chrome,PayPal,Other,3,48.0,No,Direct,6,1820,0
39.39,Mobile,Chrome,Card,US,2,41.0,Yes,Search,13,422,0
17.13,Mobile,Chrome,BankTransfer,US,5,211.0,No,Ads,11,19,0
51.64,Desktop,Chrome,BankTransfer,CN,6,314.0,Yes,Search,4,751,0
53.51,Tablet,Chrome,PayPal,CN,2,62.0,No,Social,1,293,0
61.53,Desktop,Chrome,Card,BR,3,196.0,No,Search,7,871,0
21.96,Tablet,Chrome,PayPal,BR,2,146.0,No,Social,1,934,0
75.2,Desktop,Safari,Card,CN,1,159.0,Yes,Social,12,151,0
17.7,Desktop,Firefox,PayPal,IN,1,116.0,Yes,Search,0,1426,0
98.19,Mobile,Edge,PayPal,US,2,90.0,No,Direct,0,1536,0
83.16,Mobile,Chrome,Card,FR,1,93.0,No,Direct,17,667,0
96.94,Tablet,Chrome,PayPal,US,4,71.0,No,Search,5,1514,0
0.3499999999999996,Mobile,Chrome,PayPal,US,7,182.0,No,Social,19,1119,0
51.5,Mobile,Firefox,PayPal,UK,7,76.0,Yes,Social,0,1726,0
40.04,Mobile,Firefox,PayPal,US,6,476.0,Yes,Search,1,412,0
56.35,Desktop,Safari,Card,US,2,209.0,No,Search,4,1137,0
52.2,Mobile,Chrome,Card,US,6,210.0,No,Search,20,1433,0
109.92,Mobile,Chrome,Card,UK,2,88.0,No,Direct,0,194,0
48.52,Mobile,Safari,Card,UK,4,161.0,No,Direct,9,696,0
24.950000000000003,Mobile,Safari,Card,CN,3,47.0,No,Search,21,1347,0
78.49,Mobile,Safari,Card,BR,3,169.0,Yes,Search,17,1283,0
70.72,Mobile,Firefox,Card,CN,7,248.0,Yes,Search,17,501,0
171.67,Mobile,Chrome,Card,US,3,88.0,No,Ads,8,1426,0
-2.43,Desktop,Safari,Card,Other,3,290.0,Yes,Ads,10,1225,0
60.88,Mobile,Chrome,Card,FR,7,196.0,No,Direct,13,881,0
14.920000000000002,Desktop,Safari,Card,Other,6,52.0,No,Direct,4,822,0
31.04,Mobile,Firefox,Card,FR,6,132.0,Yes,Search,15,1477,0
97.04,Desktop,Chrome,BankTransfer,IN,5,185.0,Yes,Search,1,1629,0
47.67,Mobile,Chrome,PayPal,CN,1,234.0,Yes,Direct,10,1806,0
11.81,Mobile,Safari,PayPal,Other,2,187.0,No,Search,4,1614,0
32.39,Desktop,Firefox,Card,FR,7,12.0,No,Social,19,122,0
93.04,Mobile,Chrome,PayPal,Other,2,0.0,Yes,Social,10,143,1
172.64,Desktop,Edge,Card,US,5,114.0,No,Search,6,217,0
27.35,Tablet,Firefox,Card,BR,4,183.0,No,Direct,1,1608,0
147.45,Mobile,Chrome,Card,US,4,171.0,No,Direct,19,985,0
418.99,Desktop,Chrome,Card,IN,5,342.0,No,Direct,5,1652,0
41.27,Mobile,Safari,PayPal,Other,4,79.0,Yes,Search,11,405,0
46.8,Mobile,Chrome,COD,UK,2,65.0,No,Search,5,1493,0
44.03,Desktop,Chrome,Card,DE,4,68.0,No,Search,22,1612,0
60.2,Tablet,Chrome,Card,UK,7,391.0,Yes,Search,1,442,0
26.24,Desktop,Other,Card,US,7,166.0,No,Search,9,240,0
67.25,Desktop,Safari,Card,IN,4,94.0,Yes,Social,6,378,0
5.199999999999999,Desktop,Chrome,BankTransfer,US,5,178.0,Yes,Search,20,159,0
85.79,Mobile,Chrome,BankTransfer,UK,4,150.0,No,Direct,17,335,0
158.72,Desktop,Safari,PayPal,CN,7,202.0,No,Search,15,1434,0
37.32,Desktop,Firefox,Card,US,4,288.0,No,Search,18,315,0
326.73,Mobile,Chrome,Card,Other,6,216.0,Yes,Search,17,95,1
0.3000000000000007,Desktop,Chrome,COD,US,7,202.0,No,Direct,22,1347,0
16.66,Mobile,Firefox,Card,BR,1,77.0,No,Search,5,1553,0
191.42,Tablet,Safari,Card,BR,5,151.0,No,Search,6,29,0
1.5999999999999996,Mobile,Safari,Card,UK,7,97.0,No,Search,10,652,0
44.4,Desktop,Edge,Card,UK,1,35.0,No,Direct,18,1317,0
69.68,Desktop,Chrome,PayPal,Other,3,49.0,No,Search,9,1316,0
64.12,Desktop,Chrome,Card,IN,6,254.0,No,Direct,22,1635,0
167.98,Desktop,Firefox,Card,Other,6,191.0,Yes,Social,21,1039,0
40.22,Mobile,Chrome,PayPal,IN,4,104.0,No,Direct,6,1784,0
143.18,Mobile,Chrome,Card,BR,3,63.0,Yes,Ads,10,1480,0
64.5,Desktop,Chrome,Card,Other,1,140.0,No,Direct,13,1001,0
12.73,Desktop,Chrome,PayPal,IN,4,155.0,Yes,Social,12,225,0
108.12,Desktop,Chrome,PayPal,FR,6,64.0,Yes,Social,1,976,0
6.41,Mobile,Firefox,Card,US,4,41.0,No,Social,5,445,0
218.27,Desktop,Chrome,PayPal,IN,2,268.0,No,Search,19,1052,0
85.27,Mobile,Chrome,Card,UK,7,247.0,Yes,Search,7,1553,0
31.81,Mobile,Chrome,COD,CN,5,217.0,Yes,Direct,22,1470,0
9.1,Mobile,Chrome,PayPal,UK,6,253.0,Yes,Search,17,550,0
104.11,Mobile,Safari,Card,UK,3,106.0,Yes,Social,16,1253,0
-0.0899999999999998,Mobile,Chrome,Card,US,6,111.0,Yes,Social,17,1494,0
36.34,Desktop,Chrome,PayPal,US,1,31.0,Yes,Search,0,1706,0
17.5,Mobile,Chrome,Card,US,4,136.0,No,Direct,13,145,0
186.45,Desktop,Safari,Card,IN,5,141.0,No,Social,5,1693,0
35.83,Mobile,Safari,Card,DE,7,114.0,Yes,Direct,2,1383,0
65.72,Mobile,Edge,PayPal,CN,7,44.0,No,Search,21,374,0
32.21,Desktop,Chrome,PayPal,US,6,128.0,No,Search,9,187,0
40.47,Tablet,Edge,PayPal,FR,5,68.0,No,Ads,16,743,0
166.88,Mobile,Chrome,PayPal,US,5,344.0,No,Search,9,366,0
89.6,Desktop,Chrome,Card,US,6,182.0,Yes,Search,20,1111,0
32.07,Desktop,Chrome,Card,US,2,309.0,No,Direct,2,276,0
6.73,Desktop,Chrome,Card,US,7,17.0,No,Search,10,1388,0
129.3,Desktop,Other,Card,Other,3,28.0,Yes,Search,6,1685,0
91.78,Mobile,Safari,BankTransfer,DE,4,157.0,Yes,Direct,3,836,0
71.67,Desktop,Firefox,Card,US,6,192.0,No,Search,2,696,0
18.87,Mobile,Firefox,Card,US,3,206.0,No,Direct,12,699,0
10.06,Mobile,Chrome,COD,DE,1,85.0,No,Search,9,674,0
53.09,Desktop,Firefox,Card,UK,3,81.0,Yes,Search,18,1104,0
13.71,Tablet,Chrome,PayPal,US,4,273.0,No,Search,21,1655,0
0.0199999999999995,Desktop,Chrome,PayPal,UK,7,139.0,No,Direct,15,961,0
65.45,Desktop,Firefox,Card,FR,5,42.0,No,Search,13,1725,0
45.22,Desktop,Chrome,Card,IN,5,100.0,Yes,Search,4,1570,0
-1.4000000000000004,Mobile,Firefox,COD,US,3,316.0,Yes,Direct,13,834,0
81.01,Desktop,Chrome,Card,Other,1,131.0,Yes,Social,7,900,0
108.94,Mobile,Chrome,Card,IN,2,116.0,Yes,Search,16,1089,0
45.2,Desktop,Chrome,BankTransfer,US,6,119.0,Yes,Direct,1,100,0
165.31,Mobile,Edge,Card,IN,5,29.0,Yes,Search,2,1371,0
85.54,Mobile,Firefox,Card,IN,5,182.0,Yes,Search,16,391,0
149.82,Tablet,Chrome,PayPal,IN,5,80.0,No,Ads,8,1591,0
6.829999999999998,Desktop,Chrome,Card,US,1,45.0,Yes,Search,5,1734,0
39.73,Mobile,Edge,Card,CN,5,181.0,No,Direct,22,159,0
16.92,Mobile,Edge,Card,UK,3,337.0,No,Search,7,779,0
88.39,Desktop,Edge,Card,US,6,99.0,Yes,Social,21,287,0
8.370000000000001,Desktop,Edge,COD,UK,6,125.0,No,Social,22,1781,0
0.5600000000000005,Desktop,Chrome,Card,FR,3,64.0,No,Ads,14,832,0
104.11,Mobile,Firefox,Card,Other,4,126.0,Yes,Direct,19,1815,0
91.51,Mobile,Chrome,Card,UK,6,104.0,Yes,Search,10,459,0
-4.22,Mobile,Safari,Card,UK,6,203.0,No,Search,3,1574,0
8.93,Desktop,Safari,Card,BR,2,68.0,No,Search,12,1371,0
106.98,Desktop,Firefox,Card,FR,3,17.0,Yes,Direct,21,1527,0
9.77,Desktop,Chrome,PayPal,IN,6,61.0,No,Direct,5,52,0
-3.9,Mobile,Edge,PayPal,UK,6,343.0,Yes,Search,2,256,0
137.18,Desktop,Safari,Card,FR,5,78.0,Yes,Direct,2,428,0
-5.1,Mobile,Safari,Card,US,5,205.0,No,Ads,11,1199,0
165.36,Desktop,Chrome,PayPal,Other,6,119.0,No,Search,11,502,0
66.64,Tablet,Chrome,Card,IN,1,101.0,No,Search,20,1785,0
1.1999999999999993,Desktop,Chrome,PayPal,US,3,98.0,No,Direct,22,1114,0
23.85,Desktop,Edge,PayPal,Other,5,88.0,Yes,Search,11,1467,0
128.87,Desktop,Safari,Card,IN,5,95.0,No,Direct,14,29,0
12.02,Desktop,Edge,PayPal,US,2,19.0,Yes,Search,11,657,0
28.130000000000003,Desktop,Edge,BankTransfer,US,4,218.0,No,Direct,23,657,0
31.1,Desktop,Safari,Card,US,6,81.0,Yes,Search,3,1695,0
-7.01,Desktop,Safari,PayPal,FR,7,423.0,No,Direct,19,1378,0
24.35,Desktop,Safari,Card,BR,2,93.0,No,Social,10,1343,0
127.88,Desktop,Safari,Card,UK,3,63.0,No,Search,4,1369,0
42.67,Mobile,Safari,Card,CN,6,182.0,No,Social,12,427,0
97.6,Desktop,Chrome,Card,US,7,74.0,Yes,Search,0,1488,0
22.380000000000003,Desktop,Safari,COD,US,3,415.0,Yes,Search,12,776,0
17.56,Desktop,Safari,Card,IN,6,304.0,No,Search,11,450,0
9.43,Mobile,Firefox,Card,IN,4,45.0,Yes,Ads,7,703,0
11.95,Desktop,Chrome,PayPal,UK,6,358.0,No,Search,1,1124,0
45.83,Tablet,Chrome,PayPal,US,7,50.0,Yes,Direct,12,170,0
14.86,Mobile,Chrome,Card,Other,5,431.0,Yes,Search,4,470,0
19.5,Desktop,Chrome,Card,US,5,15.0,Yes,Ads,5,748,0
31.32,Desktop,Chrome,Card,BR,2,91.0,No,Search,4,1505,0
110.58,Desktop,Other,PayPal,DE,2,168.0,Yes,Direct,17,1536,0
41.33,Desktop,Chrome,Card,DE,6,74.0,No,Social,10,119,0
20.76,Desktop,Chrome,PayPal,US,3,84.0,No,Ads,20,592,0
65.0,Mobile,Other,Card,Other,6,216.0,Yes,Search,15,607,0
44.85,Mobile,Safari,Card,US,6,202.0,Yes,Social,0,1483,0
175.64,Desktop,Chrome,Card,US,5,148.0,Yes,Search,3,792,1
1.6199999999999992,Desktop,Safari,Card,FR,4,155.0,No,Search,18,1171,0
40.53,Mobile,Safari,PayPal,UK,3,67.0,Yes,Ads,8,1114,0
156.05,Desktop,Edge,BankTransfer,BR,3,162.0,Yes,Social,9,1769,0
75.98,Desktop,Chrome,Card,US,5,133.0,Yes,Ads,21,782,0
170.14,Mobile,Chrome,Card,UK,4,162.0,Yes,Search,9,114,1
125.18,Mobile,Chrome,PayPal,US,5,147.0,No,Ads,2,224,0
28.85,Mobile,Safari,Card,FR,2,319.0,No,Search,17,473,0
139.82,Desktop,Chrome,Card,US,6,153.0,Yes,Search,20,1763,0
105.15,Desktop,Chrome,Card,US,6,605.0,No,Search,20,945,0
28.83,Mobile,Firefox,PayPal,US,6,152.0,No,Ads,19,844,0
49.98,Desktop,Firefox,PayPal,BR,4,272.0,No,Ads,3,1134,0
-4.9,Mobile,Edge,PayPal,US,5,149.0,No,Search,15,1632,0
1.6999999999999993,Desktop,Chrome,PayPal,UK,2,207.0,No,Search,22,1003,0
24.71,Desktop,Chrome,Card,UK,5,138.0,No,Search,9,192,0
70.37,Desktop,Safari,Card,US,5,96.0,No,Search,15,239,0
12.79,Desktop,Edge,Card,IN,3,63.0,Yes,Search,23,256,0
23.58,Desktop,Safari,Card,US,5,132.0,No,Search,10,536,0
128.99,Desktop,Chrome,PayPal,Other,4,64.0,Yes,Direct,12,1704,0
27.49,Mobile,Edge,PayPal,FR,6,116.0,Yes,Search,22,642,0
4.07,Desktop,Safari,Card,US,3,158.0,No,Search,5,1169,0
-5.65,Mobile,Edge,PayPal,DE,4,141.0,No,Direct,16,939,0
9.47,Desktop,Chrome,Card,UK,5,135.0,Yes,Ads,16,1339,0
28.15,Mobile,Chrome,Card,US,6,88.0,No,Social,5,606,0
44.43,Desktop,Chrome,COD,Other,2,233.0,No,Search,9,1590,0
2.01,Desktop,Chrome,PayPal,DE,4,311.0,Yes,Direct,3,1475,0
53.78,Desktop,Chrome,Card,BR,7,204.0,No,Social,5,81,0
16.85,Desktop,Safari,PayPal,US,4,831.0,No,Direct,10,1208,0
35.06,Mobile,Edge,PayPal,US,6,227.0,No,Direct,23,1604,0
55.56999999999999,Mobile,Chrome,BankTransfer,CN,7,189.0,No,Search,12,1603,0
16.93,Mobile,Chrome,Card,US,3,140.0,Yes,Direct,12,1091,0
158.9,Mobile,Edge,Card,IN,3,39.0,No,Search,5,1216,0
9.64,Desktop,Chrome,Card,US,2,126.0,Yes,Direct,10,315,0
56.09,Mobile,Safari,Card,US,6,228.0,Yes,Direct,12,968,0
133.98,Mobile,Edge,Card,US,5,70.0,No,Search,21,506,0
66.91,Mobile,Other,Card,Other,7,174.0,Yes,Direct,18,202,1
146.82,Mobile,Chrome,Card,BR,1,186.0,Yes,Search,18,1261,0
26.66,Desktop,Chrome,Card,US,6,67.0,Yes,Search,20,459,0
151.62,Tablet,Firefox,Card,DE,4,192.0,No,Ads,10,532,0
10.29,Mobile,Chrome,PayPal,US,4,218.0,Yes,Search,10,1018,0
4.07,Mobile,Chrome,Card,Other,2,168.0,Yes,Direct,23,1384,0
0.7799999999999994,Mobile,Chrome,Card,DE,7,136.0,No,Search,7,813,0
124.87,Tablet,Firefox,Card,US,1,79.0,No,Search,23,8,0
5.369999999999999,Mobile,Firefox,Card,CN,4,129.0,Yes,Social,23,255,0
107.42,Mobile,Firefox,Card,Other,2,156.0,Yes,Search,20,206,0
35.24,Desktop,Chrome,Card,US,1,253.0,No,Search,18,543,0
-2.3,Mobile,Firefox,PayPal,UK,6,351.0,No,Search,5,801,0
9.84,Desktop,Chrome,PayPal,US,5,38.0,No,Direct,0,498,0
13.97,Mobile,Chrome,Card,CN,3,346.0,Yes,Search,17,1199,0
24.93,Mobile,Chrome,PayPal,FR,1,383.0,Yes,Social,21,176,0
23.71,Tablet,Edge,Card,US,1,41.0,No,Direct,0,116,0
-0.6300000000000008,Desktop,Edge,Card,US,3,310.0,Yes,Search,2,253,0
226.86,Mobile,Edge,PayPal,Other,6,110.0,No,Ads,8,1622,0
3.4700000000000006,Mobile,Chrome,Card,CN,7,245.0,No,Search,19,1443,0
69.13,Tablet,Chrome,PayPal,US,5,49.0,No,Social,14,1682,0
13.94,Mobile,Chrome,Card,CN,3,260.0,No,Social,12,1461,0
50.0,Mobile,Chrome,BankTransfer,US,1,199.0,No,Search,20,634,0
15.489999999999998,Mobile,Other,Card,CN,7,127.0,No,Social,17,1583,0
87.92,Mobile,Firefox,PayPal,CN,1,36.0,No,Search,17,491,0
133.68,Mobile,Safari,Card,US,3,121.0,No,Ads,11,1795,0
60.02,Desktop,Safari,PayPal,US,4,151.0,Yes,Search,19,1097,0
124.1,Mobile,Chrome,Card,BR,1,46.0,No,Direct,5,247,0
14.19,Mobile,Other,Card,US,6,50.0,No,Search,2,72,0
60.06,Desktop,Chrome,Card,Other,4,144.0,No,Social,8,1318,0
56.96,Mobile,Safari,Card,US,1,181.0,No,Ads,22,789,0
87.22999999999999,Desktop,Chrome,Card,FR,5,9.0,Yes,Ads,13,374,1
165.47,Desktop,Chrome,Card,UK,2,154.0,No,Direct,20,1671,0
22.98,Desktop,Chrome,Card,UK,1,257.0,Yes,Direct,9,1513,0
298.73,Mobile,Firefox,COD,CN,7,313.0,No,Direct,21,1346,0
5.279999999999999,Tablet,Chrome,Card,UK,5,255.0,Yes,Direct,1,1527,0
71.03,Tablet,Chrome,Card,CN,2,161.0,Yes,Search,5,971,0
420.9,Mobile,Chrome,Card,IN,3,40.0,No,Direct,0,636,0
114.56,Mobile,Chrome,PayPal,US,7,265.0,Yes,Search,3,839,0
143.95,Mobile,Chrome,Card,Other,2,525.0,Yes,Direct,4,214,0
67.09,Mobile,Chrome,Card,US,4,225.0,No,Direct,20,992,0
-6.35,Mobile,Edge,PayPal,DE,2,99.0,Yes,Search,12,136,0
43.81,Desktop,Edge,Card,Other,1,139.0,No,Direct,10,1747,0
5.529999999999999,Desktop,Edge,BankTransfer,US,1,151.0,No,Search,21,247,0
52.36,Mobile,Chrome,Card,IN,4,148.0,Yes,Search,8,1281,0
11.6,Mobile,Edge,PayPal,UK,6,48.0,Yes,Social,4,1484,0
-2.1100000000000003,Desktop,Chrome,Card,DE,2,308.0,Yes,Social,6,847,0
37.38,Mobile,Firefox,Card,FR,6,110.0,Yes,Search,8,171,0
44.24,Mobile,Edge,BankTransfer,BR,3,58.0,No,Search,9,489,0
376.53,Mobile,Chrome,PayPal,BR,7,65.0,No,Social,22,696,1
36.17,Desktop,Firefox,PayPal,BR,7,134.0,No,Search,10,902,0
21.88,Mobile,Safari,Card,US,4,682.0,No,Search,6,1817,0
133.97,Desktop,Firefox,PayPal,DE,1,161.0,No,Direct,22,419,0
372.62,Mobile,Safari,COD,BR,3,264.0,Yes,Direct,9,1406,0
52.23,Desktop,Chrome,Card,UK,3,38.0,No,Search,2,905,0
11.44,Mobile,Chrome,PayPal,BR,3,152.0,Yes,Social,6,146,0
142.91,Mobile,Chrome,Card,UK,7,114.0,No,Direct,23,1279,0
43.54,Desktop,Chrome,Card,US,4,132.0,No,Search,6,1405,0
123.43,Mobile,Firefox,PayPal,CN,3,384.0,No,Search,15,1510,0
5.17,Mobile,Other,Card,CN,1,163.0,No,Search,16,1604,0
253.41000000000005,Mobile,Chrome,Card,US,4,269.0,No,Search,4,1152,0
62.72,Tablet,Chrome,Card,US,1,96.0,No,Direct,13,1096,0
61.68000000000001,Desktop,Edge,Card,UK,2,225.0,Yes,Direct,20,323,0
20.83,Tablet,Firefox,Card,Other,4,245.0,Yes,Direct,9,696,0
147.26,Desktop,Firefox,PayPal,UK,3,31.0,Yes,Search,23,276,1
12.91,Mobile,Safari,Card,CN,5,70.0,Yes,Ads,2,1694,0
600.88,Desktop,Edge,Card,Other,4,16.0,Yes,Direct,8,1465,1
14.95,Tablet,Safari,Card,CN,3,481.0,No,Ads,14,1592,0
7.780000000000001,Mobile,Firefox,PayPal,Other,2,43.0,No,Direct,17,1023,0
37.49,Mobile,Safari,Card,BR,4,388.0,No,Ads,22,122,0
360.86,Desktop,Chrome,Card,US,1,22.0,No,Social,20,1400,0
2.289999999999999,Desktop,Chrome,PayPal,DE,7,48.0,Yes,Social,17,1231,0
-0.5800000000000001,Mobile,Chrome,Card,UK,1,34.0,Yes,Direct,17,893,0
39.39,Mobile,Chrome,Card,US,7,123.0,Yes,Direct,13,1644,0
4.0,Mobile,Chrome,PayPal,CN,1,96.0,No,Social,4,422,0
12.19,Desktop,Chrome,PayPal,US,3,234.0,Yes,Social,23,215,0
16.86,Mobile,Chrome,PayPal,IN,5,119.0,No,Social,12,288,0
50.9,Desktop,Other,PayPal,IN,3,134.0,No,Direct,22,103,0
2.140000000000001,Mobile,Firefox,BankTransfer,UK,4,136.0,No,Ads,2,317,0
27.58,Desktop,Safari,Card,Other,1,301.0,Yes,Search,18,699,0
127.48,Mobile,Chrome,PayPal,FR,5,296.0,No,Search,2,906,0
136.31,Tablet,Safari,Card,Other,4,198.0,No,Social,14,1399,0
68.13,Desktop,Edge,Card,UK,1,258.0,No,Social,7,815,0
97.5,Mobile,Safari,Card,US,5,77.0,Yes,Search,20,786,0
67.53,Mobile,Firefox,Card,Other,4,136.0,Yes,Search,7,395,0
7.890000000000001,Desktop,Chrome,COD,BR,3,33.0,No,Direct,0,621,0
1352.57,Mobile,Chrome,Card,US,3,7.0,Yes,Ads,9,879,1
13.09,Desktop,Firefox,Card,US,3,218.0,No,Direct,4,707,0
95.26,Mobile,Chrome,PayPal,US,7,138.0,No,Social,8,116,0
8.649999999999999,Desktop,Chrome,PayPal,DE,3,238.0,No,Direct,6,1753,0
96.1,Mobile,Other,Card,BR,4,361.0,No,Direct,6,792,0
831.9,Mobile,Chrome,Card,BR,4,69.0,No,Direct,20,469,1
19.3,Tablet,Chrome,Card,US,1,196.0,No,Search,11,1413,0
43.82,Desktop,Chrome,PayPal,BR,3,99.0,No,Search,0,1458,0
59.34,Mobile,Chrome,BankTransfer,BR,2,40.0,No,Direct,3,559,0
216.69,Desktop,Safari,Card,Other,4,27.0,Yes,Direct,11,770,0
8.55,Mobile,Chrome,Card,Other,1,141.0,No,Direct,6,444,0
6.91,Mobile,Chrome,Card,UK,6,156.0,No,Search,5,227,0
116.34,Tablet,Firefox,COD,DE,3,310.0,No,Search,12,1103,0
159.98,Mobile,Safari,Card,CN,4,135.0,Yes,Search,0,369,0
22.15,Mobile,Firefox,Card,US,7,139.0,Yes,Search,9,1556,0
13.420000000000002,Desktop,Other,Card,FR,5,355.0,No,Search,10,999,0
33.18,Mobile,Firefox,Card,DE,6,122.0,No,Search,13,1230,0
104.18,Desktop,Chrome,Card,UK,5,355.0,No,Ads,1,797,0
38.29,Desktop,Chrome,Card,BR,3,101.0,Yes,Social,0,1505,0
1.4399999999999995,Desktop,Chrome,PayPal,FR,4,199.0,No,Ads,12,1454,0
20.44,Mobile,Chrome,PayPal,CN,5,48.0,No,Direct,12,347,0
207.33,Mobile,Firefox,COD,BR,2,180.0,Yes,Direct,8,1634,0
18.07,Mobile,Edge,Card,US,7,291.0,Yes,Social,17,129,0
0.1199999999999992,Mobile,Chrome,Card,FR,5,52.0,No,Search,10,336,0
83.76,Mobile,Chrome,Card,US,5,67.0,No,Direct,5,725,0
46.54,Mobile,Chrome,Card,IN,5,170.0,Yes,Direct,12,1555,0
88.23,Mobile,Chrome,BankTransfer,CN,7,352.0,Yes,Search,15,1585,0
55.150000000000006,Desktop,Edge,Card,CN,6,149.0,Yes,Search,13,1033,0
30.4,Desktop,Safari,PayPal,IN,3,32.0,No,Direct,7,165,0
101.68,Desktop,Edge,Card,UK,3,59.0,No,Social,19,1366,0
23.340000000000003,Mobile,Safari,Card,BR,7,332.0,No,Search,14,115,0
19.48,Mobile,Firefox,PayPal,DE,3,176.0,No,Direct,21,461,0
14.25,Desktop,Firefox,Card,US,3,110.0,Yes,Direct,6,482,0
261.16,Desktop,Edge,Card,US,7,268.0,No,Direct,13,35,1
19.84,Mobile,Chrome,Card,Other,7,127.0,No,Direct,14,1427,0
55.150000000000006,Desktop,Chrome,Card,UK,1,507.0,Yes,Direct,22,1109,0
81.17,Tablet,Edge,Card,BR,6,249.0,No,Search,13,1720,0
44.83,Mobile,Firefox,Card,IN,5,183.0,Yes,Social,4,1166,0
166.08,Desktop,Edge,COD,IN,1,188.0,Yes,Direct,0,1171,0
6.77,Mobile,Edge,Card,US,7,352.0,Yes,Direct,13,872,0
